hotel,fooditems
butter-chicken-factory-pali-hill-bandra-west,"['chicken', 'kebab']"
katani-vaishno-dhaba-phase-3-mohali,"['tikka', 'chana masala', 'paneer', 'shahi paneer']"
chemistry-caf�-gomti-nagar,['coffeee']
truffles-koramangala-5th-block,"['allo', 'pasta', 'chicken', 'cake', 'salad']"
CoffeeCultureFlagship,"['pasta', 'paneer', 'coffeee']"
nescaf�-illusions-dharampeth,"['chicken', 'sandwich', 'chicken sandwich', 'coffeee']"
gopals-sector-35,"['moong dal', 'gravy', 'sandwich', 'white sauce', 'puris', 'paneer', 'cutlet', 'pasta', 'raj kachori']"
dhide-cafe-koramangala-5th-block,"['sandwich', 'fish', 'onion rings', 'pasta', 'chicken', 'pizzas']"
punjab-grill-saket-new-delhi,"['papdi chaat', 'tikka', 'gravy', 'mutton', 'kebab', 'salad', 'allo', 'kadai paneer', 'mughlai', 'paneer', 'biryani', 'chicken biryani', 'chicken', 'kebabs', 'chutney']"
jaisalmer-sector-5-salt-lake,"['chilli chicken', 'tikka', 'mutton', 'chicken wings', 'salad', 'kebab', 'fish', 'chicken biryani', 'paneer', 'pepper chicken', 'lamb', 'biryani', 'cake', 'chicken', 'kebabs', 'kheer']"
khana-khazana-panchwati,['chicken']
spice-court-hotel-maurya-lodipur,"['manchow', 'tikka', 'paneer', 'kebab', 'manchow soup']"
moti-mahal-delux-civil-lines,"['mughlai', 'chicken', 'mutton', 'kebabs', 'kebab']"
la-plage-arambol,"['chicken', 'fish']"
pind-balluchi-gomti-nagar,"['lamb', 'dum aloo', 'paneer']"
little-italy-besant-nagar,"['pasta', 'white sauce', 'pizzas', 'tomoto soup']"
world-streat-food-nariman-point,"['fish', 'mughlai']"
puffs-n-rolls-1-college-road,['chicken']
strawberry-fields-chandmari,"['sandwich', 'allo', 'coffeee', 'tandoori chicken sandwich', 'pasta', 'chicken', 'chicken sandwich']"
nav-durga-adajan-gam,['sandwich']
mickeys-colva,"['chicken', 'pizzas']"
india-restaurant-kidderpore,"['tikka', 'gravy', 'mutton', 'chicken peshawari', 'kebab', 'chicken pie', 'mughlai', 'fish', 'fish kebab', 'chicken biryani', 'paneer', 'haleem', 'biryani', 'chicken', 'kebabs', 'chicken pakora', 'stew']"
tinkus-yn-road,"['sandwich', 'paneer', 'coffeee']"
dine-way-platz-khanapara,"['chicken', 'paneer']"
le-dupleix-white-town,"['pasta', 'fish', 'chicken']"
kennys-the-breakfast-place-calangute,['chicken']
spice-route-anand-wali-goan,['jeera rice']
gunpowder-vagator,"['chicken curry', 'mutton', 'appam', 'coconut curry', 'fish', 'tamarind fish', 'masala prawns', 'prawns masala', 'chicken']"
three-dots-a-dash-indiranagar,['sandwich']
gangour-vesu,"['tikka', 'paneer']"
ads-city-light,"['tikka', 'chicken', 'chicken biryani', 'biryani']"
saffron-maharana-pratap-nagar,"['tikka', 'kebabs', 'paneer', 'kebab']"
le-boulevard-hotel-atithi-heritage-town,"['lamb', 'fish', 'mutton', 'chicken']"
sethi-da-dhaba-elamkulam,"['tikka', 'palak chicken', 'paneer', 'paneer butter masala', 'chicken', 'chutney']"
pantry-dor-cordon-bleu-alwarpet,"['cake', 'pasta', 'chicken', 'chicken wings']"
marcos-pizza-vadiwadi,['pizzas']
white-dove-restaurant-uzan-bazaar,['chicken']
punjab-grill-jubilee-hills,"['tikka', 'chicken', 'mutton', 'paneer']"
big-pitcher-airport-road,['chicken']
delhi-darbar-sahid-nagar-bhubaneshwar,"['mutton', 'biryani', 'kebab']"
pukhtaan-the-royal-taste-of-india-fraser-road-area,"['kebabs', 'kebab']"
jain-chawal-wale-connaught-place-new-delhi,"['paneer', 'onion rings']"
open-hand-shop-cafe-assi-ghat,"['cake', 'sandwich']"
makhan-bhog-ulubari,['coffeee']
